,product_id,views,favorites,carts,purchases,view_to_purchase,cart_to_purchase,fav_to_purchase,cart_abandonment_rate,fav_abandonment_rate,product_segment
0,13,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
1,38,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
2,60,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
3,72,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
4,81,3,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
5,100,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
6,115,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
7,116,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
8,143,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
9,179,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
10,180,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Regular Product
11,207,1,0,1,0,0.0,0.0,0.0,1.0,0.0,Regular Product
12,270,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
13,284,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
14,285,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
15,286,0,0,1,0,0.0,0.0,0.0,1.0,0.0,Dead Stock
16,322,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
17,324,4,1,0,0,0.0,0.0,0.0,0.0,1.0,Regular Product
18,330,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
19,331,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
20,361,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
21,444,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
22,461,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
23,474,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
24,492,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
25,493,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
26,524,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
27,542,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
28,549,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
29,557,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
30,558,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
31,560,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
32,561,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
33,602,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
34,608,3,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
35,638,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
36,645,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
37,660,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
38,687,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
39,722,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
40,723,0,0,1,0,0.0,0.0,0.0,1.0,0.0,Dead Stock
41,751,9,0,1,1,0.1111111111111111,1.0,0.0,0.0,0.0,Consistent Seller
42,753,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
43,764,6,0,0,0,0.0,0.0,0.0,0.0,0.0,Poor Converter
44,788,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
45,812,3,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
46,817,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
47,902,0,0,1,0,0.0,0.0,0.0,1.0,0.0,Dead Stock
48,907,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
49,909,1,1,0,0,0.0,0.0,0.0,0.0,1.0,Regular Product
50,921,1,0,0,1,1.0,0.0,0.0,0.0,0.0,Regular Product
51,953,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
52,976,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
53,980,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
54,1006,7,0,1,0,0.0,0.0,0.0,1.0,0.0,Poor Converter
55,1079,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
56,1087,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
57,1114,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
58,1133,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
59,1138,3,2,0,0,0.0,0.0,0.0,0.0,1.0,Regular Product
60,1150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
61,1197,3,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
62,1212,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
63,1221,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
64,1233,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
65,1248,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
66,1252,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
67,1260,4,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
68,1267,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
69,1292,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
70,1304,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
71,1312,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
72,1313,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
73,1333,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
74,1338,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
75,1341,0,0,1,0,0.0,0.0,0.0,1.0,0.0,Dead Stock
76,1347,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
77,1353,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
78,1369,4,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
79,1372,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
80,1390,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
81,1418,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
82,1445,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Regular Product
