,user_id,sessions,purchases,carted,favorited,total_actions,night_actions,weekend_sessions,total_sessions,dominant_category,top_category_share,user_segment
0,11,1,0,0,0,2,0,2,1,1320293,0.5,One-Time User
1,17,1,0,0,0,2,0,2,1,2465336,0.5,One-Time User
2,18,2,0,0,0,2,1,1,2,1846937,0.5,Window Shopper
3,23,1,0,0,0,1,0,1,1,154040,1.0,One-Time User
4,25,1,0,0,0,1,0,1,1,4983053,1.0,One-Time User
5,27,1,0,0,0,1,0,0,1,1132429,1.0,One-Time User
6,29,2,0,0,0,4,0,4,2,982926,0.5,Window Shopper
7,30,3,0,0,0,3,1,3,3,3002561,0.3333333333333333,Window Shopper
8,33,1,0,0,0,1,0,0,1,4217906,1.0,One-Time User
9,35,2,0,0,0,3,1,3,2,339305,0.3333333333333333,Window Shopper
10,48,1,0,0,0,2,2,2,1,2465336,0.5,One-Time User
11,57,2,0,0,0,3,2,0,2,570735,0.3333333333333333,Window Shopper
12,59,1,0,0,0,1,0,1,1,4756105,1.0,One-Time User
13,64,1,0,0,0,1,0,1,1,154040,1.0,One-Time User
14,68,3,0,0,1,5,3,0,3,4051859,0.4,Window Shopper
15,69,2,0,0,0,3,0,2,2,4801426,0.6666666666666666,Window Shopper
16,70,1,0,0,0,2,0,2,1,3607361,0.5,One-Time User
17,72,1,0,0,0,1,0,0,1,2640118,1.0,One-Time User
18,76,1,0,0,0,1,0,0,1,4695078,1.0,One-Time User
19,81,1,0,0,0,1,0,0,1,1126526,1.0,One-Time User
20,94,3,0,0,0,4,3,1,3,4827299,0.75,Window Shopper
21,95,2,0,0,1,5,0,0,2,982926,0.2,Window Shopper
22,102,1,0,0,0,2,0,2,1,3160926,1.0,One-Time User
23,103,3,0,0,0,3,0,1,3,154040,0.3333333333333333,Window Shopper
24,112,1,0,0,0,2,2,2,1,1879194,1.0,One-Time User
25,114,1,0,0,0,1,0,0,1,1051370,1.0,One-Time User
26,115,2,0,0,0,3,0,1,2,411153,0.6666666666666666,Window Shopper
27,117,2,1,0,0,3,0,3,2,1575622,0.6666666666666666,Impulse Buyer
28,119,1,0,0,0,2,0,2,1,1320293,0.5,One-Time User
29,121,3,0,0,1,4,0,2,3,1050007,0.25,Window Shopper
30,122,1,0,0,0,2,0,2,1,898327,0.5,One-Time User
31,126,1,0,0,0,1,0,1,1,4756105,1.0,One-Time User
32,134,1,0,0,0,1,0,1,1,2748804,1.0,One-Time User
33,140,1,0,0,0,1,0,1,1,3566034,1.0,One-Time User
34,141,1,0,0,0,1,0,1,1,2465336,1.0,One-Time User
35,154,1,0,0,0,1,0,1,1,4173315,1.0,One-Time User
36,159,1,0,0,0,2,0,2,1,411153,0.5,One-Time User
37,178,2,0,1,0,3,2,3,2,4357323,0.6666666666666666,Window Shopper
38,182,1,0,0,0,2,2,0,1,4145813,0.5,One-Time User
39,183,2,0,0,0,2,0,1,2,982926,0.5,Window Shopper
40,193,2,0,0,1,2,1,1,2,982926,0.5,Window Shopper
41,195,1,0,0,0,2,0,2,1,2342116,1.0,One-Time User
42,197,1,0,0,0,1,1,1,1,1397912,1.0,One-Time User
43,201,1,0,0,0,1,1,1,1,4918438,1.0,One-Time User
44,205,1,0,0,0,1,0,1,1,3738615,1.0,One-Time User
45,209,1,0,1,0,2,0,0,1,2578647,0.5,Cart Abandoner
46,222,1,0,0,0,2,2,0,1,1449177,0.5,One-Time User
47,223,1,0,0,0,1,1,1,1,3800818,1.0,One-Time User
48,224,1,0,0,0,1,0,1,1,4672807,1.0,One-Time User
49,226,1,0,0,0,1,1,0,1,2558244,1.0,One-Time User
50,234,4,0,0,0,6,1,1,4,4756105,0.6666666666666666,Window Shopper
51,235,2,0,0,0,4,0,0,2,1320293,0.5,Window Shopper
52,236,1,0,0,0,1,1,0,1,4170419,1.0,One-Time User
53,237,2,0,0,1,2,0,1,2,1710799,0.5,Window Shopper
54,240,1,0,0,0,1,1,0,1,2290623,1.0,One-Time User
55,241,1,0,0,0,1,0,0,1,4173315,1.0,One-Time User
56,243,2,0,0,0,3,0,0,2,1575622,0.3333333333333333,Window Shopper
57,246,1,0,0,0,1,0,0,1,1216617,1.0,One-Time User
58,247,1,0,0,0,2,0,0,1,2465336,0.5,One-Time User
59,249,1,0,0,0,2,2,0,1,238434,0.5,One-Time User
60,250,1,0,0,0,1,0,1,1,4789432,1.0,One-Time User
61,251,1,0,0,0,2,0,0,1,1265358,0.5,One-Time User
62,256,3,0,1,0,3,0,1,3,1231891,0.3333333333333333,Window Shopper
63,259,1,0,0,0,1,0,0,1,2590256,1.0,One-Time User
64,260,2,0,1,0,2,0,0,2,860357,0.5,Window Shopper
65,261,1,0,0,0,1,1,1,1,3118167,1.0,One-Time User
66,272,1,0,0,0,1,0,1,1,1994940,1.0,One-Time User
67,277,1,0,0,0,1,0,1,1,4690421,1.0,One-Time User
68,278,2,0,0,0,3,2,1,2,2355072,0.3333333333333333,Window Shopper
69,280,1,0,0,0,1,0,1,1,2465573,1.0,One-Time User
70,283,1,0,0,0,1,0,0,1,4806751,1.0,One-Time User
71,286,3,0,1,0,3,1,1,3,982926,0.3333333333333333,Window Shopper
72,287,1,0,0,0,1,1,1,1,4339722,1.0,One-Time User
73,288,1,0,0,0,2,2,0,1,2355072,0.5,One-Time User
74,290,1,0,0,0,1,0,0,1,2640118,1.0,One-Time User
75,292,1,0,0,0,1,1,0,1,4801426,1.0,One-Time User
76,293,1,0,0,0,1,1,0,1,5053508,1.0,One-Time User
77,299,3,0,1,0,4,0,0,3,970709,0.25,Window Shopper
78,309,1,0,0,0,1,1,0,1,4719814,1.0,One-Time User
79,310,1,0,0,0,1,0,1,1,3738615,1.0,One-Time User
80,312,1,0,0,0,2,0,2,1,405755,0.5,One-Time User
81,320,3,0,0,0,5,0,4,3,553365,0.4,Window Shopper
82,321,1,0,0,0,2,0,2,1,2228184,1.0,One-Time User
83,322,1,0,0,0,2,0,0,1,171529,0.5,One-Time User
84,328,3,0,1,0,3,1,3,3,344833,0.6666666666666666,Window Shopper
85,331,1,0,0,0,1,0,0,1,3081594,1.0,One-Time User
86,337,1,0,0,0,1,0,1,1,3320579,1.0,One-Time User
87,350,1,0,0,0,1,0,0,1,982926,1.0,One-Time User
88,351,1,0,0,0,1,0,0,1,4756105,1.0,One-Time User
89,352,1,2,0,0,2,2,2,1,903809,0.5,Weekend Shopper
90,357,2,0,0,0,3,0,3,2,3002561,0.3333333333333333,Window Shopper
91,359,1,0,0,0,1,0,0,1,2465336,1.0,One-Time User
92,361,2,1,0,0,2,0,1,2,1467750,0.5,Impulse Buyer
93,365,1,0,0,0,2,2,2,1,2355072,1.0,One-Time User
94,367,1,0,0,0,2,2,0,1,4519460,0.5,One-Time User
95,370,1,0,1,0,1,1,0,1,2885642,1.0,Cart Abandoner
96,372,1,0,0,0,1,0,0,1,405755,1.0,One-Time User
97,375,1,0,0,0,1,0,1,1,3794706,1.0,One-Time User
98,376,1,0,0,0,2,0,2,1,50601,0.5,One-Time User
99,380,3,0,0,0,5,2,0,3,982926,0.6,Window Shopper
100,381,1,0,0,0,2,0,2,1,1320293,0.5,One-Time User
101,382,1,0,0,0,1,0,1,1,4936889,1.0,One-Time User
102,388,3,0,0,0,3,1,1,3,1216617,0.3333333333333333,Window Shopper
103,392,1,0,0,0,1,0,1,1,2297311,1.0,One-Time User
104,393,1,0,0,0,1,0,0,1,3738615,1.0,One-Time User
105,400,2,0,0,0,2,0,2,2,2572604,0.5,Window Shopper
106,402,1,0,0,0,2,2,2,1,796075,0.5,One-Time User
107,404,3,0,0,0,5,2,5,3,1080785,0.4,Window Shopper
108,407,1,0,0,0,1,0,1,1,4756105,1.0,One-Time User
109,412,1,0,0,0,1,0,0,1,4756105,1.0,One-Time User
110,415,1,0,0,0,1,0,1,1,2520377,1.0,One-Time User
111,417,2,0,0,0,4,0,4,2,205968,0.25,Window Shopper
112,419,1,0,0,0,1,0,0,1,5071267,1.0,One-Time User
113,420,1,0,0,0,1,0,1,1,4310023,1.0,One-Time User
114,431,1,0,0,0,1,0,0,1,4170419,1.0,One-Time User
115,432,1,0,0,0,2,0,2,1,286229,0.5,One-Time User
116,438,2,0,0,0,2,1,1,2,4145813,0.5,Window Shopper
117,441,1,0,0,0,1,0,1,1,2735466,1.0,One-Time User
118,448,1,0,0,0,1,1,0,1,1299190,1.0,One-Time User
119,453,1,1,0,0,1,1,0,1,2089582,1.0,Impulse Buyer
120,457,1,0,0,0,1,0,1,1,3160926,1.0,One-Time User
121,461,1,0,0,0,1,0,0,1,3607361,1.0,One-Time User
122,463,1,0,0,0,1,0,1,1,3681810,1.0,One-Time User
123,467,1,0,0,0,3,0,0,1,1320293,1.0,One-Time User
124,468,1,0,0,0,1,0,1,1,982926,1.0,One-Time User
125,472,1,0,0,0,2,2,0,1,4181361,0.5,One-Time User
126,485,4,0,0,0,6,0,1,4,1464116,0.3333333333333333,Window Shopper
127,488,1,0,0,1,2,0,2,1,3855599,0.5,Wishlister
128,495,1,0,0,0,2,0,2,1,1488813,0.5,One-Time User
129,498,2,0,0,0,3,0,0,2,4145813,0.6666666666666666,Window Shopper
130,499,1,0,0,0,2,0,0,1,2806049,0.5,One-Time User
131,503,1,0,0,0,1,0,1,1,3844144,1.0,One-Time User
132,507,1,0,0,0,2,0,2,1,2735466,1.0,One-Time User
133,510,1,0,0,0,1,1,1,1,1859277,1.0,One-Time User
134,516,1,0,0,0,1,1,0,1,2920476,1.0,One-Time User
135,521,1,0,0,0,1,0,0,1,4756105,1.0,One-Time User
136,523,2,0,0,0,2,1,1,2,846990,0.5,Window Shopper
137,527,1,0,0,0,1,0,0,1,1859277,1.0,One-Time User
138,528,1,0,0,0,2,0,2,1,3002561,1.0,One-Time User
139,534,1,0,0,0,2,2,0,1,4756105,1.0,One-Time User
140,535,2,0,0,0,4,0,0,2,4509358,0.75,Window Shopper
141,543,3,0,0,0,3,1,2,3,4801426,0.6666666666666666,Window Shopper
142,552,1,0,0,0,2,0,2,1,3112817,0.5,One-Time User
143,553,1,0,0,0,2,0,2,1,3002561,0.5,One-Time User
144,554,1,0,0,0,1,1,1,1,2735466,1.0,One-Time User
145,559,2,0,0,0,3,1,0,2,3598912,0.3333333333333333,Window Shopper
146,564,1,0,0,0,1,0,1,1,4181361,1.0,One-Time User
147,565,1,0,0,0,1,0,0,1,2520771,1.0,One-Time User
148,566,1,0,0,0,1,0,1,1,3607361,1.0,One-Time User
149,568,1,1,0,0,1,1,0,1,4095810,1.0,Impulse Buyer
150,570,2,0,0,0,5,2,2,2,154040,0.2,Window Shopper
151,574,1,0,0,0,1,1,1,1,1787510,1.0,One-Time User
152,575,1,0,0,0,1,1,1,1,4756105,1.0,One-Time User
153,578,2,0,0,0,3,1,0,2,965809,0.6666666666666666,Window Shopper
154,582,2,0,0,0,4,0,2,2,35290,0.25,Window Shopper
155,593,1,0,0,0,1,1,1,1,3738615,1.0,One-Time User
156,596,1,0,0,1,1,0,1,1,2920476,1.0,Wishlister
157,597,3,0,1,0,5,4,0,3,2578647,0.6,Window Shopper
158,600,1,0,0,0,2,0,0,1,1014564,0.5,One-Time User
159,603,1,0,0,0,2,0,0,1,1061857,0.5,One-Time User
160,604,1,0,0,0,1,0,1,1,384755,1.0,One-Time User
161,606,1,0,0,0,1,0,0,1,4595718,1.0,One-Time User
162,611,2,0,0,0,2,1,1,2,3002561,0.5,Window Shopper
163,613,1,0,0,0,1,0,0,1,4310023,1.0,One-Time User
164,617,2,0,2,0,5,1,0,2,1320293,0.4,Window Shopper
165,623,2,0,0,0,3,0,2,2,941949,0.6666666666666666,Window Shopper
166,625,4,0,2,0,7,4,0,4,982926,0.8571428571428571,Window Shopper
167,629,1,0,0,0,2,0,0,1,1127566,1.0,One-Time User
168,631,1,0,0,0,1,0,0,1,154040,1.0,One-Time User
169,632,2,0,0,0,3,0,0,2,238434,0.3333333333333333,Window Shopper
170,634,2,0,0,0,2,0,1,2,4145813,0.5,Window Shopper
171,647,1,0,0,0,2,0,2,1,2629787,1.0,One-Time User
172,657,4,0,0,0,9,2,4,4,2735466,0.2222222222222222,Window Shopper
173,660,2,0,0,0,3,3,2,2,4756105,0.6666666666666666,Window Shopper
174,672,1,0,0,0,1,0,1,1,1320293,1.0,One-Time User
175,678,1,0,0,0,1,1,0,1,1879194,1.0,One-Time User
176,682,2,0,1,0,3,0,0,2,982926,0.3333333333333333,Window Shopper
177,683,1,0,0,0,1,1,0,1,4756105,1.0,One-Time User
178,693,1,0,0,0,3,3,3,1,2071435,0.6666666666666666,One-Time User
179,694,1,0,1,0,1,0,0,1,149192,1.0,Cart Abandoner
180,698,1,1,0,0,1,1,0,1,1464116,1.0,Impulse Buyer
181,708,1,0,0,0,2,0,0,1,384755,0.5,One-Time User
182,714,1,0,0,0,2,2,0,1,982926,0.5,One-Time User
183,729,1,0,0,0,2,0,0,1,2640118,0.5,One-Time User
184,740,2,0,0,0,2,0,0,2,1040727,0.5,Window Shopper
185,746,1,0,0,0,2,0,2,1,1521931,0.5,One-Time User
186,750,1,0,0,0,2,0,0,1,1906712,0.5,One-Time User
187,760,1,1,0,0,2,0,2,1,570735,1.0,Impulse Buyer
188,762,2,0,0,1,2,0,1,2,154040,0.5,Window Shopper
189,766,1,0,0,0,2,2,0,1,965809,0.5,One-Time User
190,767,1,0,0,1,1,0,0,1,4756105,1.0,Wishlister
191,768,1,0,0,0,1,0,0,1,2495340,1.0,One-Time User
192,769,1,0,0,0,1,1,0,1,2217187,1.0,One-Time User
193,770,1,0,0,0,3,0,3,1,2640118,0.3333333333333333,One-Time User
194,772,1,0,0,0,1,0,0,1,223690,1.0,One-Time User
195,782,2,0,0,0,2,0,0,2,154040,0.5,Window Shopper
196,786,1,0,0,0,2,2,2,1,600175,0.5,One-Time User
197,792,1,0,0,0,1,0,0,1,381850,1.0,One-Time User
198,794,1,0,0,0,2,2,2,1,2640118,0.5,One-Time User
199,796,1,0,0,0,1,1,1,1,3607361,1.0,One-Time User
200,803,2,0,0,0,2,0,1,2,149192,0.5,Window Shopper
201,807,1,0,0,0,1,0,0,1,3524510,1.0,One-Time User
202,810,2,0,0,0,3,1,3,2,4801426,0.6666666666666666,Window Shopper
203,818,1,0,0,0,2,2,2,1,285583,1.0,One-Time User
204,820,3,0,0,0,7,0,6,3,672001,0.42857142857142855,Window Shopper
205,822,3,1,1,0,8,0,4,3,3607361,0.375,Weekend Shopper
206,828,2,0,0,0,3,0,0,2,634390,0.3333333333333333,Window Shopper
207,831,1,0,1,0,1,0,0,1,1464116,1.0,Cart Abandoner
208,833,1,0,2,0,2,2,0,1,4267003,1.0,Cart Abandoner
209,837,1,0,0,0,1,0,1,1,4690421,1.0,One-Time User
210,838,2,0,0,0,3,2,3,2,4145813,0.6666666666666666,Window Shopper
211,848,1,0,0,0,1,1,1,1,2342116,1.0,One-Time User
212,850,4,0,1,0,7,4,3,4,1575622,0.2857142857142857,Window Shopper
213,852,1,0,0,0,3,0,3,1,4095810,0.6666666666666666,One-Time User
214,853,1,0,0,0,3,0,3,1,58836,0.3333333333333333,One-Time User
215,855,1,0,1,0,1,0,1,1,1320293,1.0,Cart Abandoner
216,864,2,0,0,0,4,4,2,2,1397912,0.25,Window Shopper
217,865,1,0,0,0,1,0,1,1,2609943,1.0,One-Time User
218,868,1,0,0,0,2,0,0,1,4643350,0.5,One-Time User
